Accesion	Lineages	Sublineage 
MG812675.1	LineageI	None
KM822128.1	LineageI	None
U80004.1	LineageI	None
AF181853.1	LineageI	None
AY628208.1	LineageI	None
AY628207.1	LineageI	None
AJ969407.1	LineageI	None
KM822128.1	LineageI	None
PP431211.1	LineageII	None
PP431208.1	LineageII	None
PP431204.1	LineageII	None
PP431203.1	LineageII	None
PP431202.1	LineageII	None
PP431199.1	LineageII	None
PP431198.1	LineageII	None
PP431196.1	LineageII	None
PP431193.1	LineageII	None
PP431190.1	LineageII	None
PP431189.1	LineageII	None
PP431188.1	LineageII	None
PP431187.1	LineageII	None
PP431185.1	LineageII	None
PP431184.1	LineageII	None
PP431183.1	LineageII	None
PP431180.1	LineageII	None
PP431172.1	LineageII	None
PP431169.1	LineageII	None
PP431165.1	LineageII	None
PP431164.1	LineageII	None
PP431163.1	LineageII	None
PP431162.1	LineageII	None
PP431158.1	LineageII	None
PP431155.1	LineageII	None
OR147793.1	LineageII	None
OR147792.1	LineageII	None
OR147791.1	LineageII	None
OQ557079.1	LineageII	None
OQ557078.1	LineageII	None
OQ557077.1	LineageII	None
OQ557076.1	LineageII	None
OQ557075.1	LineageII	None
OQ557074.1	LineageII	None
OQ557073.1	LineageII	None
OQ557072.1	LineageII	None
OQ557071.1	LineageII	None
OQ557070.1	LineageII	None
OQ557069.1	LineageII	None
OQ557068.1	LineageII	None
OQ557067.1	LineageII	None
OQ557066.1	LineageII	None
OQ557065.1	LineageII	None
OQ557064.1	LineageII	None
OQ557063.1	LineageII	None
OQ557062.1	LineageII	None
OQ557061.1	LineageII	None
OQ557060.1	LineageII	None
OQ557059.1	LineageII	None
OQ557058.1	LineageII	None
OQ557057.1	LineageII	None
OQ557056.1	LineageII	None
OQ557055.1	LineageII	None
OQ557054.1	LineageII	None
OQ557053.1	LineageII	None
OQ557052.1	LineageII	None
OQ557051.1	LineageII	None
OQ557050.1	LineageII	None
OQ557049.1	LineageII	None
OQ557048.1	LineageII	None
OQ557047.1	LineageII	None
OQ557046.1	LineageII	None
OQ557045.1	LineageII	None
OQ557044.1	LineageII	None
OQ557043.1	LineageII	None
OQ557042.1	LineageII	None
OQ557041.1	LineageII	None
OQ557040.1	LineageII	None
OQ557039.1	LineageII	None
OQ557038.1	LineageII	None
OQ557037.1	LineageII	None
OQ557036.1	LineageII	None
OQ557035.1	LineageII	None
OQ557034.1	LineageII	None
OQ557033.1	LineageII	None
OQ557032.1	LineageII	None
OQ557031.1	LineageII	None
OQ557030.1	LineageII	None
OQ557029.1	LineageII	None
OQ557028.1	LineageII	None
OQ557027.1	LineageII	None
OQ557026.1	LineageII	None
OQ557025.1	LineageII	None
OQ557024.1	LineageII	None
OQ557023.1	LineageII	None
OQ557022.1	LineageII	None
OQ557021.1	LineageII	None
OQ557020.1	LineageII	None
OQ557019.1	LineageII	None
OQ557018.1	LineageII	None
OQ557017.1	LineageII	None
OQ557016.1	LineageII	None
OQ557015.1	LineageII	None
OQ557014.1	LineageII	None
OQ557013.1	LineageII	None
OQ557012.1	LineageII	None
OQ557011.1	LineageII	None
