Taxon	Location	Location2	Host	Date	Lineage	Sublineage
PQ421570.1_Nigeria_UnknownCity_Rodent_2022.000	Nigeria	UnknownCity	Rodent	2022.000	LineageIV	SublineageI
PP826289.1_SierraLeone_UnknownCity_Human_2012.000	SierraLeone	UnknownCity	Human	2012.000	LineageIV	SublineageI
PP826287.1_SierraLeone_UnknownCity_Human_2012.000	SierraLeone	UnknownCity	Human	2012.000	LineageIV	SublineageI
OR490754.1_SierraLeone_Yakaji_Rodent_2014.277	SierraLeone	Yakaji	Rodent	2014.277	LineageIV	SublineageII
OR490750.1_SierraLeone_Falaba_Rodent_2017.488	SierraLeone	Falaba	Rodent	2017.488	LineageIV	SublineageII
OR490749.1_SierraLeone_Falaba_Rodent_2017.485	SierraLeone	Falaba	Rodent	2017.485	LineageIV	SublineageII
OR490747.1_Guinea_Yarawalia_Rodent_2013.890	Guinea	Yarawalia	Rodent	2013.890	LineageIV	SublineageIII
OR490746.1_Guinea_Yarawalia_Rodent_2013.890	Guinea	Yarawalia	Rodent	2013.890	LineageIV	SublineageIII
OR490745.1_Guinea_Tanganya_Rodent_2003.762	Guinea	Tanganya	Rodent	2003.762	LineageIV	SublineageIII
OR490744.1_Guinea_Silimi_Rodent_2013.932	Guinea	Silimi	Rodent	2013.932	LineageIV	SublineageIII
OR490743.1_Guinea_Safrani_Rodent_2013.923	Guinea	Safrani	Rodent	2013.923	LineageIV	SublineageIII
OR490742.1_Guinea_Khoria_Rodent_2013.899	Guinea	Khoria	Rodent	2013.899	LineageIV	SublineageIII
OR490740.1_Guinea_Damania_Rodent_2013.879	Guinea	Damania	Rodent	2013.879	LineageIV	SublineageIII
OR490738.1_Guinea_Damania_Rodent_2013.874	Guinea	Damania	Rodent	2013.874	LineageIV	SublineageIII
OR490737.1_Guinea_Dalafilani_Rodent_2013.910	Guinea	Dalafilani	Rodent	2013.910	LineageIV	SublineageIII
OR490736.1_Guinea_Brissa_Rodent_2013.953	Guinea	Brissa	Rodent	2013.953	LineageIV	SublineageIII
OR490735.1_Guinea_Bantou_Rodent_2003.742	Guinea	Bantou	Rodent	2003.742	LineageIV	SublineageIII
OM791231.1_SierraLeone_Kapethe_Rodent_2019.411	SierraLeone	Kapethe	Rodent	2019.411	LineageIV	SublineageII
OM791229.1_SierraLeone_Kapethe_Rodent_2019.408	SierraLeone	Kapethe	Rodent	2019.408	LineageIV	SublineageII
OM791227.1_SierraLeone_Kamasseh_Rodent_2019.293	SierraLeone	Kamasseh	Rodent	2019.293	LineageIV	SublineageII
OM791225.1_SierraLeone_Kamasseh_Rodent_2019.293	SierraLeone	Kamasseh	Rodent	2019.293	LineageIV	SublineageII
OM791221.1_SierraLeone_Largo_Rodent_2020.134	SierraLeone	Largo	Rodent	2020.134	LineageIV	SublineageI
OM791219.1_SierraLeone_Barlie_Rodent_2020.098	SierraLeone	Barlie	Rodent	2020.098	LineageIV	SublineageII
OM735991.1_SierraLeone_Barlie_Rodent_2019.532	SierraLeone	Barlie	Rodent	2019.532	LineageIV	SublineageII
OM735989.1_SierraLeone_Makump_Rodent_2019.586	SierraLeone	Makump	Rodent	2019.586	LineageIV	SublineageII
OM735987.1_SierraLeone_Bafodia_Rodent_2019.685	SierraLeone	Bafodia	Rodent	2019.685	LineageIV	SublineageII
OM735985.1_SierraLeone_Bafodia_Rodent_2019.688	SierraLeone	Bafodia	Rodent	2019.688	LineageIV	SublineageII
