Taxon	Location	Location2	Host	Date	Lineage	Sublineage
PQ421571.1_Nigeria_UnknownCity_Rodent_2022.000	Nigeria	UnknownCity	Rodent	2022.000	LineageIV	SublineageI
PP826288.1_SierraLeone_UnknownCity_Human_2012.000	SierraLeone	UnknownCity	Human	2012.000	LineageIV	SublineageI
PP826286.1_SierraLeone_UnknownCity_Human_2012.000	SierraLeone	UnknownCity	Human	2012.000	LineageIV	SublineageI
OM791232.1_SierraLeone_Kapethe_Rodent_2019.411	SierraLeone	Kapethe	Rodent	2019.411	LineageIV	SublineageIII
OM791230.1_SierraLeone_Kapethe_Rodent_2019.408	SierraLeone	Kapethe	Rodent	2019.408	LineageIV	SublineageIII
OM791228.1_SierraLeone_Kamasseh_Rodent_2019.293	SierraLeone	Kamasseh	Rodent	2019.293	LineageIV	SublineageIII
OM791226.1_SierraLeone_Kamasseh_Rodent_2019.293	SierraLeone	Kamasseh	Rodent	2019.293	LineageIV	SublineageIII
OM791222.1_SierraLeone_Largo_Rodent_2020.134	SierraLeone	Largo	Rodent	2020.134	LineageIV	SublineageII
OM791220.1_SierraLeone_Barlie_Rodent_2020.098	SierraLeone	Barlie	Rodent	2020.098	LineageIV	SublineageIII
OM735990.1_SierraLeone_Barlie_Rodent_2019.532	SierraLeone	Barlie	Rodent	2019.532	LineageIV	SublineageIII
OM735988.1_SierraLeone_Makump_Rodent_2019.586	SierraLeone	Makump	Rodent	2019.586	LineageIV	SublineageIII
OM735986.1_SierraLeone_Bafodia_Rodent_2019.685	SierraLeone	Bafodia	Rodent	2019.685	LineageIV	SublineageIII
OM735984.1_SierraLeone_Bafodia_Rodent_2019.688	SierraLeone	Bafodia	Rodent	2019.688	LineageIV	SublineageIII
OM735982.1_SierraLeone_Bafodia_Rodent_2019.688	SierraLeone	Bafodia	Rodent	2019.688	LineageIV	SublineageIII
OM735980.1_SierraLeone_Bafodia_Rodent_2019.688	SierraLeone	Bafodia	Rodent	2019.688	LineageIV	SublineageIII
OM735978.1_SierraLeone_Kapethe_Rodent_2019.756	SierraLeone	Kapethe	Rodent	2019.756	LineageIV	SublineageIII
OM735976.1_SierraLeone_Kapethe_Rodent_2019.756	SierraLeone	Kapethe	Rodent	2019.756	LineageIV	SublineageIII
OM735974.1_SierraLeone_Barlie_Rodent_2019.778	SierraLeone	Barlie	Rodent	2019.778	LineageIV	SublineageIII
OM735972.1_SierraLeone_Largo_Rodent_2019.822	SierraLeone	Largo	Rodent	2019.822	LineageIV	SublineageII
