Accesion	Lineages	Sublineage 
KM822127.1	LineageI	None
KM822127.1	LineageI	None
MG812674.1	LineageI	None
AY693637.1	LineageII	None
AY693640.1	LineageII	None
GU481069.1	LineageII	None
GU481075.1	LineageII	None
GU481077.1	LineageII	None
GU481079.1	LineageII	None
KM821911.1	LineageII	None
KM821913.1	LineageII	None
KM821915.1	LineageII	None
KM821917.1	LineageII	None
KM821919.1	LineageII	None
KM821921.1	LineageII	None
KM821923.1	LineageII	None
KM821926.1	LineageII	None
KM821928.1	LineageII	None
KM821930.1	LineageII	None
KM821932.1	LineageII	None
KM821934.1	LineageII	None
KM821936.1	LineageII	None
KM821938.1	LineageII	None
KM821940.1	LineageII	None
KM821942.1	LineageII	None
KM821944.1	LineageII	None
KM821946.1	LineageII	None
KM821948.1	LineageII	None
KM821950.1	LineageII	None
KM821952.1	LineageII	None
KM821954.1	LineageII	None
KM821956.1	LineageII	None
KM821958.1	LineageII	None
KM821960.1	LineageII	None
KM821962.1	LineageII	None
KM821964.1	LineageII	None
KM821966.1	LineageII	None
KM821968.1	LineageII	None
KM821970.1	LineageII	None
KM821973.1	LineageII	None
KM821975.1	LineageII	None
KM821978.1	LineageII	None
KM821981.1	LineageII	None
KM821983.1	LineageII	None
KM821985.1	LineageII	None
KM821987.1	LineageII	None
KM821989.1	LineageII	None
KM821991.1	LineageII	None
KM821993.1	LineageII	None
KM821995.1	LineageII	None
KM821997.1	LineageII	None
KM821999.1	LineageII	None
KM822001.1	LineageII	None
KM822003.1	LineageII	None
KM822005.1	LineageII	None
KM822007.1	LineageII	None
KM822009.1	LineageII	None
KM822011.1	LineageII	None
KM822013.1	LineageII	None
KM822015.1	LineageII	None
KM822017.1	LineageII	None
KM822019.1	LineageII	None
KM822021.1	LineageII	None
KM822024.1	LineageII	None
KM822026.1	LineageII	None
KM822028.1	LineageII	None
KM822030.1	LineageII	None
KM822032.1	LineageII	None
KM822034.1	LineageII	None
KM822036.1	LineageII	None
KM822038.1	LineageII	None
KM822040.1	LineageII	None
KM822042.1	LineageII	None
KM822044.1	LineageII	None
KM822046.1	LineageII	None
KM822048.1	LineageII	None
KM822050.1	LineageII	None
KM822052.1	LineageII	None
KM822054.1	LineageII	None
KM822056.1	LineageII	None
KM822058.1	LineageII	None
KM822061.1	LineageII	None
KM822064.1	LineageII	None
KM822068.1	LineageII	None
KM822070.1	LineageII	None
KM822073.1	LineageII	None
KM822075.1	LineageII	None
KM822077.1	LineageII	None
KM822079.1	LineageII	None
KM822081.1	LineageII	None
KM822083.1	LineageII	None
KM822085.1	LineageII	None
KM822087.1	LineageII	None
KM822090.1	LineageII	None
KM822092.1	LineageII	None
KM822094.1	LineageII	None
KM822096.1	LineageII	None
KM822098.1	LineageII	None
KM822100.1	LineageII	None
KM822102.1	LineageII	None
KM822104.1	LineageII	None
KM822106.1	LineageII	None
KM822108.1	LineageII	None
KU978812.1	LineageII	None
LC387469.1	LineageII	None
LC387471.1	LineageII	None
LC387473.1	LineageII	None
LC387475.1	LineageII	None
LC387477.1	LineageII	None
LC387479.1	LineageII	None
LC387481.1	LineageII	None
LC387483.1	LineageII	None
LC387485.1	LineageII	None
LC387487.1	LineageII	None
LC387489.1	LineageII	None
MG812640.1	LineageII	None
MG812680.1	LineageII	None
MH053486.1	LineageII	None
MH053489.1	LineageII	None
MH053492.1	LineageII	None
MH053494.1	LineageII	None
MH053495.1	LineageII	None
MH053496.1	LineageII	None
MH053499.1	LineageII	None
MH053500.1	LineageII	None
MH053503.1	LineageII	None
MH053504.1	LineageII	None
MH053505.1	LineageII	None
MH053507.1	LineageII	None
MH053508.1	LineageII	None
MH053509.1	LineageII	None
MH053510.1	LineageII	None
MH053512.1	LineageII	None
MH053515.1	LineageII	None
MH053516.1	LineageII	None
MH053517.1	LineageII	None
MH053519.1	LineageII	None
MH053520.1	LineageII	None
MH053521.1	LineageII	None
MH053524.1	LineageII	None
MH053525.1	LineageII	None
MH053529.1	LineageII	None
MH053530.1	LineageII	None
MH053532.1	LineageII	None
MH053534.1	LineageII	None
MH053535.1	LineageII	None
MH053539.1	LineageII	None
MH053540.1	LineageII	None
MH053541.1	LineageII	None
MH053542.1	LineageII	None
MH053543.1	LineageII	None
MH053546.1	LineageII	None
MH053547.1	LineageII	None
MH053548.1	LineageII	None
MH053549.1	LineageII	None
MH053550.1	LineageII	None
MH053556.1	LineageII	None
MH053558.1	LineageII	None
MH053563.1	LineageII	None
MH053565.1	LineageII	None
MH053566.1	LineageII	None
MH053568.1	LineageII	None
MH053569.1	LineageII	None
MH053570.1	LineageII	None
MH053571.1	LineageII	None
MH053579.1	LineageII	None
MH053581.1	LineageII	None
MH053583.1	LineageII	None
MH053585.1	LineageII	None
MH053587.1	LineageII	None
MH157026.1	LineageII	None
MH157027.1	LineageII	None
MH157029.1	LineageII	None
MH157031.1	LineageII	None
MH157033.1	LineageII	None
MH157036.1	LineageII	None
MH157040.1	LineageII	None
MH157042.1	LineageII	None
MH157043.1	LineageII	None
MH157047.1	LineageII	None
MH157048.1	LineageII	None
MH157049.1	LineageII	None
